Evolución nº de ingresados en planta;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Ingresados en Planta;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
17/03/2020;628;238;76;35;61;62;4;3;4;9;14;15;15;7;32;8;1;3;7;34;
18/03/2020;713;251;101;41;67;72;6;6;6;10;13;21;18;7;40;8;1;3;7;35;
19/03/2020;824;289;113;50;90;83;6;6;6;9;15;34;18;6;44;9;1;3;7;35;
20/03/2020;920;309;123;56;104;101;5;8;9;20;15;35;18;6;58;7;1;3;7;35;
21/03/2020;1086;340;151;65;134;121;7;11;12;22;18;52;19;6;73;9;1;3;7;35;
22/03/2020;1183;338;169;73;158;128;10;11;13;24;20;63;20;6;91;13;1;3;7;35;
23/03/2020;1268;332;183;92;167;133;10;10;19;28;26;71;20;6;109;17;1;3;6;35;
24/03/2020;1463;358;216;103;205;163;14;12;21;30;29;88;26;6;123;23;1;3;6;36;
25/03/2020;1585;369;234;118;220;198;15;15;25;24;32;93;26;5;125;40;1;3;6;36;
26/03/2020;1708;365;247;157;246;211;17;17;29;28;27;93;33;8;131;55;1;2;6;35;
27/03/2020;1686;353;255;161;228;201;15;18;34;31;33;86;35;7;122;62;1;2;7;35;
28/03/2020;1822;360;278;174;275;207;17;22;36;31;38;98;37;6;126;68;1;6;7;35;
29/03/2020;1866;357;292;178;268;218;17;22;39;31;36;108;39;6;135;68;1;9;7;35;
30/03/2020;1752;344;266;169;249;190;16;24;41;23;36;93;40;6;137;60;1;15;7;35;
31/03/2020;1726;317;263;155;256;186;20;23;36;21;37;90;47;6;143;63;1;20;7;35;
01/04/2020;1708;290;271;153;270;188;21;21;31;21;30;86;49;6;145;64;1;19;7;35;
02/04/2020;1645;277;259;159;263;175;20;17;26;19;30;78;51;6;140;64;1;18;7;35;
03/04/2020;1553;248;251;148;253;152;19;15;21;23;33;75;51;7;134;60;1;20;7;35;
04/04/2020;1549;239;257;132;247;160;20;16;22;23;27;79;52;7;141;65;1;18;8;35;
05/04/2020;1530;233;263;130;226;154;20;16;22;23;23;79;52;7;153;67;1;18;8;35;
06/04/2020;1390;199;237;126;194;127;19;15;24;19;17;67;54;7;155;71;1;17;7;34;
07/04/2020;1337;182;220;124;198;115;21;13;22;15;21;58;53;7;152;75;1;19;7;34;
08/04/2020;1255;170;201;109;189;107;20;11;16;13;22;50;56;7;151;71;1;20;7;34;
09/04/2020;1231;174;205;105;186;91;16;10;17;12;21;48;55;7;156;66;1;20;6;35;
10/04/2020;1228;169;194;108;185;97;16;9;19;12;22;45;59;7;158;67;1;19;6;35;
11/04/2020;1199;170;187;107;170;101;17;8;17;14;19;43;57;7;156;67;1;17;6;35;
12/04/2020;1196;174;188;111;160;95;19;7;18;13;19;43;59;7;158;66;1;17;6;35;
13/04/2020;1138;168;175;110;147;86;18;7;17;13;19;40;57;6;153;63;1;17;6;35;
14/04/2020;1069;152;150;109;138;73;15;7;19;7;16;36;64;6;157;59;1;18;7;35;
15/04/2020;994;138;137;99;128;68;14;7;15;3;16;34;64;6;151;55;1;16;7;35;
16/04/2020;959;129;129;94;126;65;13;7;16;1;15;30;64;6;150;56;1;14;8;35;
17/04/2020;876;118;117;82;112;57;14;8;11;2;12;27;59;6;144;52;1;10;8;36;
18/04/2020;867;113;121;79;111;61;14;8;11;2;10;26;55;5;144;52;1;9;8;37;
19/04/2020;869;116;118;81;109;62;14;7;16;2;9;25;54;5;145;52;1;9;8;36;
20/04/2020;812;110;101;79;89;56;11;7;16;2;12;25;55;4;144;48;2;6;9;36;
21/04/2020;750;105;83;74;87;51;12;7;15;0;11;25;54;4;132;42;2;2;9;35;
22/04/2020;716;104;78;70;84;44;11;7;14;;12;22;51;4;123;43;2;2;10;35;
23/04/2020;677;103;72;66;76;40;11;6;11;;11;22;48;6;115;41;2;3;10;34;
24/04/2020;612;95;61;62;61;38;9;6;12;1;11;17;41;6;103;39;2;3;11;34;
25/04/2020;633;96;68;66;61;40;11;7;12;1;9;17;40;6;107;42;2;3;11;34;
26/04/2020;645;97;72;68;59;42;12;7;14;1;9;18;39;6;107;44;2;3;11;34;
27/04/2020;611;97;67;70;53;40;8;7;12;1;8;16;37;5;97;43;2;3;11;34;
28/04/2020;595;105;67;66;48;35;10;6;11;1;8;16;35;5;94;40;1;3;10;34;
29/04/2020;577;104;73;63;41;35;9;7;12;1;10;13;30;6;89;36;1;3;10;34;
30/04/2020;535;86;71;54;50;32;8;6;11;1;11;9;28;8;77;35;1;3;10;34;
01/05/2020;550;89;72;55;55;35;7;6;14;2;11;8;28;8;77;35;1;3;10;34;
02/05/2020;556;93;67;56;58;36;7;6;14;3;9;8;28;8;79;36;1;3;10;34;
03/05/2020;563;99;70;54;57;38;7;6;14;4;8;8;28;8;80;34;1;3;10;34;
04/05/2020;534;97;68;53;52;32;7;5;13;4;8;7;26;10;70;34;1;3;10;34;
05/05/2020;522;91;74;44;54;26;7;5;13;2;10;6;26;11;70;34;1;3;11;34;
06/05/2020;503;91;71;36;56;20;8;3;12;2;6;4;24;12;73;37;1;3;10;34;
07/05/2020;492;95;66;38;56;19;7;3;9;1;5;4;24;12;68;37;1;3;10;34;
08/05/2020;452;82;65;38;46;19;6;3;6;1;3;4;20;12;64;35;1;3;10;34;
09/05/2020;456;78;71;37;48;21;6;3;6;1;2;4;19;12;65;35;1;3;10;34;
10/05/2020;460;79;75;38;49;21;5;3;6;1;2;4;19;12;63;35;1;3;10;34;
11/05/2020;454;80;72;37;44;23;7;3;6;1;2;3;18;12;62;35;1;3;11;34;
12/05/2020;447;77;70;37;47;25;4;4;6;2;3;4;17;13;57;32;1;3;11;34;
13/05/2020;419;67;62;37;46;24;2;4;6;1;3;4;18;11;53;30;1;3;13;34;
14/05/2020;409;68;59;36;41;25;2;4;4;5;4;3;18;10;48;31;1;3;13;34;
15/05/2020;371;65;52;32;39;18;3;4;4;5;3;2;17;8;43;25;1;3;13;34;
16/05/2020;367;65;52;30;38;18;3;4;5;4;3;2;17;8;42;25;1;3;13;34;
17/05/2020;382;72;53;30;40;18;3;4;5;6;3;2;17;8;45;25;1;3;13;34;
18/05/2020;367;67;49;28;36;15;1;4;7;5;4;2;16;8;46;28;1;3;13;34;
19/05/2020;352;64;50;25;32;14;1;3;6;4;5;4;16;7;41;30;1;3;12;34;
20/05/2020;346;67;53;23;31;16;0;3;6;4;4;3;15;7;37;28;1;3;11;34;
21/05/2020;336;66;53;24;32;14;;3;7;2;3;5;16;7;33;24;1;1;11;34;
22/05/2020;318;66;50;22;32;10;;3;6;3;2;4;15;7;31;20;1;1;11;34;
23/05/2020;329;69;51;22;33;12;;3;6;2;3;5;15;6;33;22;1;1;11;34;
24/05/2020;332;69;53;22;31;17;;3;6;2;3;5;14;6;33;21;1;1;11;34;
25/05/2020;325;67;53;20;29;18;;4;4;2;2;5;14;7;32;21;1;1;11;34;
26/05/2020;322;63;50;27;34;17;;4;3;2;3;6;13;7;25;21;1;1;11;34;
27/05/2020;312;61;45;28;37;14;;4;2;2;2;4;14;7;24;21;1;1;11;34;
28/05/2020;291;49;39;27;36;11;1;4;2;2;2;6;14;8;24;19;1;1;11;34;
29/05/2020;267;41;40;20;33;11;1;4;2;2;2;3;13;8;23;17;1;1;11;34;
30/05/2020;273;38;43;18;34;14;1;4;3;2;2;5;12;8;24;18;1;1;11;34;
31/05/2020;287;41;43;19;38;14;1;5;3;2;2;6;11;8;28;19;1;1;11;34;
01/06/2020;282;40;37;16;37;15;2;4;3;3;3;6;11;9;30;19;1;1;11;34;
02/06/2020;281;44;34;21;37;15;3;3;4;2;3;5;8;9;29;17;1;1;10;35;
03/06/2020;281;44;32;24;36;13;3;4;4;1;5;4;8;9;28;19;1;1;10;35;
04/06/2020;263;39;30;20;37;12;2;4;2;2;5;4;7;9;26;18;1;0;10;35;
05/06/2020;240;29;36;13;33;8;3;3;3;3;6;2;7;9;23;16;1;;10;35;
06/06/2020;238;26;37;13;35;6;3;2;3;3;5;1;7;8;27;16;1;;10;35;
07/06/2020;248;30;34;15;38;7;3;2;3;3;7;1;7;8;29;15;1;;10;35;
08/06/2020;243;32;28;13;40;11;1;2;3;2;5;2;7;9;28;14;1;;10;35;
09/06/2020;240;37;29;12;35;9;1;2;3;4;4;1;7;8;29;12;1;;11;35;
10/06/2020;228;34;31;12;33;12;0;2;3;2;2;1;5;7;26;12;1;;10;35;
11/06/2020;219;37;29;11;29;11;;2;2;3;1;1;5;8;24;10;1;;10;35;
12/06/2020;209;36;27;9;29;10;;2;2;1;1;3;5;7;23;8;1;;10;35;
13/06/2020;217;39;29;11;30;8;;3;3;1;1;4;5;7;22;8;1;;10;35;
14/06/2020;224;44;31;11;28;8;1;3;3;1;2;4;5;7;22;8;1;;10;35;
15/06/2020;224;42;33;12;25;11;1;3;3;1;4;3;5;7;21;8;1;;10;34;
16/06/2020;229;39;34;12;27;14;3;3;3;0;4;5;4;7;21;8;1;;10;34;
17/06/2020;229;44;31;17;23;13;3;1;2;1;4;2;5;7;21;11;1;;9;34;
18/06/2020;224;42;35;13;25;12;2;1;1;0;3;1;4;7;22;12;1;;9;34;
19/06/2020;214;36;34;11;23;15;1;0;1;;2;0;4;7;23;13;1;;9;34;
20/06/2020;218;37;37;11;24;14;1;;0;1;2;1;4;7;22;13;1;;9;34;
21/06/2020;220;36;37;12;24;14;1;;;1;2;1;4;7;24;13;1;;9;34;
22/06/2020;223;35;38;13;26;14;2;;1;1;1;2;4;7;22;13;1;;9;34;
23/06/2020;234;43;32;13;29;14;2;;3;2;1;4;4;8;22;14;1;;8;34;
24/06/2020;238;47;34;11;30;9;2;;4;1;2;5;4;8;23;14;1;;9;34;
25/06/2020;236;46;33;13;26;11;1;1;3;1;2;6;4;8;23;14;1;;9;34;
26/06/2020;222;39;30;13;21;10;1;1;5;2;1;4;4;9;22;16;1;;9;34;
27/06/2020;228;38;30;13;25;9;1;1;5;2;1;4;4;9;25;17;1;;9;34;
28/06/2020;237;42;33;12;28;9;1;1;5;2;0;4;4;9;27;16;1;;9;34;
29/06/2020;233;48;35;13;22;10;1;0;3;3;;2;4;9;24;16;1;;8;34;
30/06/2020;225;43;33;11;22;8;1;;2;4;;2;4;10;24;16;1;;10;34;
01/07/2020;211;40;30;13;19;7;2;;1;5;;1;3;10;21;15;1;;9;34;
02/07/2020;209;41;31;10;20;7;1;1;1;3;1;1;3;10;22;13;1;;9;34;
03/07/2020;201;34;28;8;20;9;1;1;1;2;3;1;3;10;25;11;1;;9;34;
04/07/2020;205;35;29;10;20;8;0;1;1;2;3;3;3;10;25;11;1;;9;34;
05/07/2020;215;35;32;13;20;9;;2;1;2;3;3;3;10;27;11;1;;9;34;
06/07/2020;218;35;36;12;20;8;;2;2;2;3;4;3;9;24;12;1;;10;35;
07/07/2020;211;36;36;11;20;7;1;1;2;1;2;5;3;10;22;10;1;;9;34;
08/07/2020;206;35;33;12;18;6;1;2;3;1;1;5;3;11;21;10;1;;9;34;
09/07/2020;197;32;33;10;19;6;0;2;1;1;2;5;2;11;19;9;1;;10;34;
10/07/2020;192;35;30;11;15;7;;2;3;1;2;4;2;11;15;9;1;;10;34;
11/07/2020;203;35;36;12;17;7;1;2;3;2;2;4;2;11;15;9;1;;10;34;
12/07/2020;213;38;36;10;21;9;0;2;4;2;2;4;2;11;16;11;1;;10;34;
13/07/2020;217;41;36;12;18;11;;2;3;1;2;4;2;11;16;13;1;;10;34;
14/07/2020;217;37;34;13;20;16;2;2;1;1;1;5;2;11;15;13;1;;9;34;
15/07/2020;206;34;33;10;20;14;2;2;1;1;1;5;2;10;15;14;1;;7;34;
16/07/2020;197;35;29;8;18;9;2;2;0;2;1;5;1;10;18;14;1;;8;34;
17/07/2020;192;32;28;8;21;9;3;2;;0;2;4;1;10;16;12;1;;9;34;
18/07/2020;197;34;31;7;20;11;3;2;;;2;4;1;10;16;12;1;;9;34;
19/07/2020;202;34;32;7;22;11;3;2;;2;2;4;1;10;17;11;1;;9;34;
20/07/2020;219;41;36;8;24;11;3;2;4;2;3;2;1;10;18;11;1;;8;34;
21/07/2020;213;43;34;9;22;9;1;1;4;2;3;3;1;10;16;13;1;;7;34;
22/07/2020;219;42;35;7;26;10;3;1;4;1;5;2;1;9;18;13;1;;7;34;
23/07/2020;224;41;35;10;23;10;3;1;4;3;7;1;1;9;21;13;1;;7;34;
24/07/2020;212;35;27;11;25;9;3;1;4;3;5;1;1;10;19;15;1;;8;34;
25/07/2020;221;37;28;11;29;10;3;1;5;2;3;2;1;10;20;16;1;;8;34;
26/07/2020;231;37;29;13;30;13;3;1;5;3;3;2;1;10;22;16;1;;8;34;
27/07/2020;231;40;27;16;24;12;3;1;8;2;6;2;1;10;21;16;1;;7;34;
28/07/2020;216;30;28;15;22;10;3;1;8;2;4;1;1;10;23;16;1;;8;33;
29/07/2020;218;35;25;15;21;8;3;1;8;2;5;2;1;10;24;16;1;;8;33;
30/07/2020;230;38;32;16;28;6;3;1;10;2;4;1;1;10;20;15;1;;9;33;
31/07/2020;235;36;32;15;31;8;3;1;9;3;5;1;1;10;22;15;1;;9;33;
01/08/2020;231;35;33;14;32;7;3;1;6;2;5;2;1;10;22;15;1;;9;33;
02/08/2020;247;39;32;13;39;11;3;1;6;2;5;2;1;10;24;15;1;;10;33;
03/08/2020;256;45;30;16;36;11;4;2;8;1;4;2;1;10;25;17;1;;10;33;
04/08/2020;241;38;26;16;38;10;3;2;6;2;5;1;1;11;22;16;1;;10;33;
05/08/2020;250;44;29;20;39;12;2;1;5;0;3;1;1;11;21;17;1;;10;33;
06/08/2020;254;45;38;16;38;12;3;1;4;;3;2;1;11;19;17;1;;10;33;
07/08/2020;261;49;37;19;36;15;4;1;5;1;3;2;0;11;17;16;1;;11;33;
08/08/2020;274;59;32;20;35;14;4;1;6;2;4;2;;11;23;16;1;;11;33;
09/08/2020;288;61;38;22;37;14;4;1;6;2;4;2;;11;25;16;1;;11;33;
10/08/2020;301;64;38;19;42;17;5;2;8;1;2;2;;11;29;16;1;;11;33;
11/08/2020;297;62;37;17;43;14;6;2;7;1;1;3;;10;33;15;1;;12;33;
12/08/2020;312;62;41;19;54;13;6;1;9;1;1;2;;9;37;13;1;;10;33;
13/08/2020;322;64;50;19;45;15;6;2;11;2;2;2;;9;40;12;1;;9;33;
14/08/2020;317;65;55;19;42;12;7;2;11;2;1;2;;9;36;11;1;;9;33;
15/08/2020;337;69;58;20;46;17;9;2;10;2;1;2;;9;38;11;1;;9;33;
16/08/2020;363;75;68;21;53;17;9;2;11;2;1;1;;9;39;12;1;;9;33;
17/08/2020;366;76;68;21;54;18;9;2;11;2;3;0;1;8;39;12;1;;8;33;
18/08/2020;361;73;69;23;56;17;8;2;11;2;2;;1;8;35;11;1;;9;33;
19/08/2020;373;71;78;23;57;16;10;2;13;2;1;;1;8;39;11;1;;7;33;
20/08/2020;374;66;77;18;54;19;10;1;14;2;2;1;1;8;49;11;1;;7;33;
21/08/2020;378;69;74;22;52;24;6;0;14;3;2;1;1;7;50;12;1;;7;33;
22/08/2020;404;73;77;22;58;27;6;;14;3;3;2;1;7;59;11;1;;7;33;
23/08/2020;419;72;83;19;67;30;7;;12;3;2;2;1;7;62;11;1;;7;33;
24/08/2020;413;69;71;23;61;31;8;2;12;3;3;2;1;7;68;11;1;;7;33;
25/08/2020;414;68;68;30;59;29;8;3;9;4;3;1;2;7;70;11;1;;8;33;
26/08/2020;416;67;65;33;58;28;9;3;11;3;4;1;2;8;70;11;1;;9;33;
27/08/2020;429;71;70;33;61;28;10;3;12;2;3;2;2;8;70;11;1;;9;33;
28/08/2020;448;70;83;36;64;26;8;5;12;1;2;0;3;8;74;13;1;;9;33;
29/08/2020;462;72;83;44;67;25;8;5;12;0;2;;3;7;78;13;1;;9;33;
30/08/2020;483;75;84;50;74;28;8;6;12;;2;;3;7;78;13;1;;9;33;
31/08/2020;469;79;81;45;65;30;9;6;10;1;1;;4;7;77;12;1;;8;33;
01/09/2020;484;86;84;41;69;25;10;6;9;2;3;;4;7;83;12;1;;9;33;
02/09/2020;483;89;80;51;66;25;8;6;8;1;2;1;4;6;80;12;1;;10;33;
03/09/2020;482;94;85;54;56;19;10;9;8;1;2;1;4;7;77;12;1;;9;33;
04/09/2020;461;80;84;61;51;24;10;8;5;2;0;1;4;7;71;10;1;;9;33;
05/09/2020;487;85;94;64;55;25;11;9;6;1;;1;4;7;72;10;1;;9;33;
06/09/2020;514;90;99;68;59;29;12;12;7;1;1;1;4;7;71;11;1;;9;32;
07/09/2020;465;79;87;55;52;27;11;8;9;1;1;1;4;8;71;10;1;;8;32;
08/09/2020;477;72;90;61;51;24;14;9;9;2;4;2;4;8;75;11;1;;8;32;
09/09/2020;495;76;99;58;49;23;16;11;10;4;3;2;4;7;82;11;1;;7;32;
10/09/2020;490;62;92;65;52;22;16;13;11;6;4;2;4;7;82;11;1;;8;32;
11/09/2020;479;57;90;69;46;26;14;13;12;9;3;1;4;7;79;10;1;;6;32;
12/09/2020;502;63;95;73;50;31;12;13;11;9;3;1;4;7;81;10;1;;6;32;
13/09/2020;523;68;98;77;49;33;11;12;10;10;6;2;4;7;86;11;1;;6;32;
14/09/2020;506;69;94;63;47;33;10;10;13;9;6;2;3;8;89;11;1;;6;32;
15/09/2020;503;71;93;60;43;31;10;10;14;8;3;6;3;8;92;12;1;;6;32;
16/09/2020;495;69;91;57;43;25;10;9;15;12;3;7;4;8;93;11;1;;5;32;
17/09/2020;464;63;86;54;40;25;8;10;14;9;2;4;4;8;87;11;1;;6;32;
18/09/2020;464;62;82;56;39;26;11;9;9;11;2;5;3;8;92;11;1;;5;32;
19/09/2020;469;61;85;56;39;27;11;9;10;10;2;8;3;8;89;12;1;;6;32;
20/09/2020;479;64;88;51;41;32;11;10;9;12;2;8;3;8;89;12;1;;6;32;
21/09/2020;448;64;76;41;38;32;10;9;9;11;3;8;3;8;84;12;1;;7;32;
