provincia_iso,fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_otras,num_casos_prueba_desconocida
AB,2020-05-10,0,0,0,0,0
AL,2020-05-10,0,0,0,0,0
AV,2020-05-10,0,0,0,0,0
B,2020-05-10,12,12,0,0,0
BA,2020-05-10,0,0,0,0,0
BI,2020-05-10,0,0,0,0,0
BU,2020-05-10,0,0,0,0,0
C,2020-05-10,0,0,0,0,0
CA,2020-05-10,0,0,0,0,0
CC,2020-05-10,0,0,0,0,0
CE,2020-05-10,0,0,0,0,0
CO,2020-05-10,0,0,0,0,0
CR,2020-05-10,0,0,0,0,0
CS,2020-05-10,0,0,0,0,0
CU,2020-05-10,0,0,0,0,0
GC,2020-05-10,0,0,0,0,0
GI,2020-05-10,1,1,0,0,0
GR,2020-05-10,0,0,0,0,0
GU,2020-05-10,0,0,0,0,0
H,2020-05-10,0,0,0,0,0
HU,2020-05-10,0,0,0,0,0
J,2020-05-10,0,0,0,0,0
L,2020-05-10,1,1,0,0,0
LE,2020-05-10,0,0,0,0,0
LO,2020-05-10,0,0,0,0,0
LU,2020-05-10,0,0,0,0,0
M,2020-05-10,19,19,0,0,0
MA,2020-05-10,0,0,0,0,0
ME,2020-05-10,0,0,0,0,0
MU,2020-05-10,0,0,0,0,0
NA,2020-05-10,0,0,0,0,0
O,2020-05-10,0,0,0,0,0
OR,2020-05-10,0,0,0,0,0
P,2020-05-10,0,0,0,0,0
PM,2020-05-10,0,0,0,0,0
PO,2020-05-10,0,0,0,0,0
S,2020-05-10,0,0,0,0,0
SA,2020-05-10,0,0,0,0,0
SE,2020-05-10,0,0,0,0,0
SG,2020-05-10,0,0,0,0,0
SO,2020-05-10,0,0,0,0,0
SS,2020-05-10,0,0,0,0,0
T,2020-05-10,1,1,0,0,0
TE,2020-05-10,0,0,0,0,0
TF,2020-05-10,0,0,0,0,0
TO,2020-05-10,0,0,0,0,0
V,2020-05-10,0,0,0,0,0
VA,2020-05-10,0,0,0,0,0
VI,2020-05-10,0,0,0,0,0
Z,2020-05-10,0,0,0,0,0
ZA,2020-05-10,0,0,0,0,0
A,2020-05-11,7,7,0,0,0
AB,2020-05-11,1,1,0,0,0
AL,2020-05-11,0,0,0,0,0
AV,2020-05-11,1,1,0,0,0
B,2020-05-11,91,62,0,29,0
BA,2020-05-11,3,3,0,0,0
BI,2020-05-11,17,17,0,0,0
BU,2020-05-11,4,4,0,0,0
C,2020-05-11,4,4,0,0,0
CA,2020-05-11,1,1,0,0,0
CC,2020-05-11,2,2,0,0,0
CE,2020-05-11,1,1,0,0,0
CO,2020-05-11,0,0,0,0,0
CR,2020-05-11,9,9,0,0,0
CS,2020-05-11,6,6,0,0,0
CU,2020-05-11,11,11,0,0,0
GC,2020-05-11,1,1,0,0,0
GI,2020-05-11,14,14,0,0,0
GR,2020-05-11,4,4,0,0,0
GU,2020-05-11,2,2,0,0,0
H,2020-05-11,1,1,0,0,0
HU,2020-05-11,1,1,0,0,0
J,2020-05-11,7,7,0,0,0
L,2020-05-11,10,10,0,0,0
LE,2020-05-11,3,3,0,0,0
LO,2020-05-11,4,4,0,0,0
LU,2020-05-11,0,0,0,0,0
M,2020-05-11,174,173,0,1,0
MA,2020-05-11,3,3,0,0,0
ME,2020-05-11,0,0,0,0,0
MU,2020-05-11,2,2,0,0,0
NA,2020-05-11,11,11,0,0,0
O,2020-05-11,4,4,0,0,0
OR,2020-05-11,1,1,0,0,0
P,2020-05-11,3,3,0,0,0
PM,2020-05-11,8,8,0,0,0
PO,2020-05-11,4,4,0,0,0
S,2020-05-11,10,9,1,0,0
SA,2020-05-11,2,2,0,0,0
SE,2020-05-11,1,1,0,0,0
SG,2020-05-11,1,1,0,0,0
SO,2020-05-11,0,0,0,0,0
SS,2020-05-11,2,2,0,0,0
T,2020-05-11,2,1,0,1,0
TE,2020-05-11,0,0,0,0,0
TF,2020-05-11,2,2,0,0,0
TO,2020-05-11,6,2,0,4,0
V,2020-05-11,7,7,0,0,0
VA,2020-05-11,11,11,0,0,0
VI,2020-05-11,4,4,0,0,0
Z,2020-05-11,5,4,0,1,0
ZA,2020-05-11,2,2,0,0,0
A,2020-05-12,8,8,0,0,0
AB,2020-05-12,1,1,0,0,0
AL,2020-05-12,0,0,0,0,0
AV,2020-05-12,1,1,0,0,0
B,2020-05-12,81,54,0,27,0
BA,2020-05-12,3,3,0,0,0
BI,2020-05-12,9,9,0,0,0
BU,2020-05-12,4,3,0,1,0
C,2020-05-12,7,7,0,0,0
CA,2020-05-12,4,4,0,0,0
CC,2020-05-12,6,4,0,2,0
CE,2020-05-12,2,2,0,0,0
CO,2020-05-12,0,0,0,0,0
CR,2020-05-12,10,7,0,3,0
CS,2020-05-12,1,1,0,0,0
CU,2020-05-12,12,12,0,0,0
GC,2020-05-12,2,2,0,0,0
GI,2020-05-12,16,16,0,0,0
GR,2020-05-12,4,4,0,0,0
GU,2020-05-12,2,2,0,0,0
H,2020-05-12,0,0,0,0,0
HU,2020-05-12,9,9,0,0,0
J,2020-05-12,7,7,0,0,0
L,2020-05-12,19,19,0,0,0
LE,2020-05-12,6,6,0,0,0
LO,2020-05-12,3,3,0,0,0
LU,2020-05-12,0,0,0,0,0
M,2020-05-12,153,153,0,0,0
MA,2020-05-12,3,3,0,0,0
ME,2020-05-12,0,0,0,0,0
MU,2020-05-12,3,3,0,0,0
NA,2020-05-12,2,2,0,0,0
O,2020-05-12,0,0,0,0,0
OR,2020-05-12,4,4,0,0,0
P,2020-05-12,0,0,0,0,0
PM,2020-05-12,7,7,0,0,0
PO,2020-05-12,5,4,0,1,0
S,2020-05-12,8,7,1,0,0
SA,2020-05-12,0,0,0,0,0
SE,2020-05-12,1,1,0,0,0
SG,2020-05-12,2,2,0,0,0
SO,2020-05-12,1,0,0,1,0
SS,2020-05-12,4,4,0,0,0
T,2020-05-12,2,2,0,0,0
TE,2020-05-12,0,0,0,0,0
TF,2020-05-12,2,2,0,0,0
TO,2020-05-12,6,6,0,0,0
V,2020-05-12,9,9,0,0,0
VA,2020-05-12,16,16,0,0,0
VI,2020-05-12,3,3,0,0,0
Z,2020-05-12,8,8,0,0,0
ZA,2020-05-12,1,1,0,0,0
A,2020-05-13,4,4,0,0,0
AB,2020-05-13,1,1,0,0,0
AL,2020-05-13,0,0,0,0,0
AV,2020-05-13,3,3,0,0,0
B,2020-05-13,105,72,0,33,0
BA,2020-05-13,2,2,0,0,0
BI,2020-05-13,17,17,0,0,0
BU,2020-05-13,3,3,0,0,0
C,2020-05-13,5,5,0,0,0
CA,2020-05-13,3,3,0,0,0
CC,2020-05-13,5,4,0,1,0
CE,2020-05-13,0,0,0,0,0
CO,2020-05-13,3,3,0,0,0
CR,2020-05-13,18,16,0,2,0
CS,2020-05-13,3,3,0,0,0
CU,2020-05-13,1,1,0,0,0
GC,2020-05-13,2,2,0,0,0
GI,2020-05-13,17,16,0,1,0
GR,2020-05-13,4,4,0,0,0
GU,2020-05-13,6,6,0,0,0
H,2020-05-13,0,0,0,0,0
HU,2020-05-13,6,6,0,0,0
J,2020-05-13,0,0,0,0,0
L,2020-05-13,12,12,0,0,0
LE,2020-05-13,10,10,0,0,0
LO,2020-05-13,5,5,0,0,0
LU,2020-05-13,0,0,0,0,0
M,2020-05-13,141,141,0,0,0
MA,2020-05-13,3,3,0,0,0
ME,2020-05-13,0,0,0,0,0
MU,2020-05-13,5,5,0,0,0
NA,2020-05-13,9,9,0,0,0
O,2020-05-13,1,1,0,0,0
OR,2020-05-13,1,1,0,0,0
P,2020-05-13,13,13,0,0,0
PM,2020-05-13,10,10,0,0,0
PO,2020-05-13,3,3,0,0,0
S,2020-05-13,2,2,0,0,0
SA,2020-05-13,4,4,0,0,0
SE,2020-05-13,1,1,0,0,0
SG,2020-05-13,0,0,0,0,0
SO,2020-05-13,1,0,0,1,0
SS,2020-05-13,3,3,0,0,0
T,2020-05-13,9,9,0,0,0
TE,2020-05-13,2,2,0,0,0
TF,2020-05-13,3,3,0,0,0
TO,2020-05-13,10,10,0,0,0
V,2020-05-13,4,4,0,0,0
VA,2020-05-13,5,5,0,0,0
VI,2020-05-13,2,2,0,0,0
Z,2020-05-13,13,13,0,0,0
ZA,2020-05-13,15,15,0,0,0
A,2020-05-14,10,10,0,0,0
AB,2020-05-14,0,0,0,0,0
AL,2020-05-14,0,0,0,0,0
AV,2020-05-14,2,2,0,0,0
B,2020-05-14,107,61,0,46,0
BA,2020-05-14,1,1,0,0,0
BI,2020-05-14,8,8,0,0,0
BU,2020-05-14,4,4,0,0,0
C,2020-05-14,2,2,0,0,0
CA,2020-05-14,2,2,0,0,0
CC,2020-05-14,0,0,0,0,0
CE,2020-05-14,0,0,0,0,0
CO,2020-05-14,1,1,0,0,0
CR,2020-05-14,6,4,0,2,0
CS,2020-05-14,2,2,0,0,0
CU,2020-05-14,8,8,0,0,0
GC,2020-05-14,0,0,0,0,0
GI,2020-05-14,23,23,0,0,0
GR,2020-05-14,0,0,0,0,0
GU,2020-05-14,2,2,0,0,0
H,2020-05-14,0,0,0,0,0
HU,2020-05-14,10,10,0,0,0
J,2020-05-14,4,4,0,0,0
L,2020-05-14,14,14,0,0,0
LE,2020-05-14,8,8,0,0,0
LO,2020-05-14,5,5,0,0,0
LU,2020-05-14,1,1,0,0,0
M,2020-05-14,153,153,0,0,0
MA,2020-05-14,1,1,0,0,0
ME,2020-05-14,0,0,0,0,0
MU,2020-05-14,2,2,0,0,0
NA,2020-05-14,18,18,0,0,0
O,2020-05-14,2,2,0,0,0
OR,2020-05-14,0,0,0,0,0
P,2020-05-14,4,4,0,0,0
PM,2020-05-14,7,7,0,0,0
PO,2020-05-14,2,2,0,0,0
S,2020-05-14,2,2,0,0,0
SA,2020-05-14,4,4,0,0,0
SE,2020-05-14,2,2,0,0,0
SG,2020-05-14,2,2,0,0,0
SO,2020-05-14,2,2,0,0,0
SS,2020-05-14,0,0,0,0,0
T,2020-05-14,0,0,0,0,0
TE,2020-05-14,8,8,0,0,0
TF,2020-05-14,2,2,0,0,0
TO,2020-05-14,11,11,0,0,0
V,2020-05-14,7,7,0,0,0
VA,2020-05-14,5,4,0,1,0
VI,2020-05-14,2,2,0,0,0
Z,2020-05-14,3,3,0,0,0
ZA,2020-05-14,8,8,0,0,0
A,2020-05-15,2,2,0,0,0
AB,2020-05-15,3,3,0,0,0
AL,2020-05-15,0,0,0,0,0
AV,2020-05-15,1,1,0,0,0
B,2020-05-15,157,118,0,39,0
BA,2020-05-15,0,0,0,0,0
BI,2020-05-15,10,10,0,0,0
BU,2020-05-15,8,8,0,0,0
C,2020-05-15,4,4,0,0,0
CA,2020-05-15,0,0,0,0,0
CC,2020-05-15,1,1,0,0,0
CE,2020-05-15,0,0,0,0,0
CO,2020-05-15,2,2,0,0,0
CR,2020-05-15,15,13,0,2,0
CS,2020-05-15,6,6,0,0,0
CU,2020-05-15,5,5,0,0,0
GC,2020-05-15,2,2,0,0,0
GI,2020-05-15,23,22,0,1,0
GR,2020-05-15,4,4,0,0,0
GU,2020-05-15,2,2,0,0,0
H,2020-05-15,0,0,0,0,0
HU,2020-05-15,7,7,0,0,0
J,2020-05-15,4,4,0,0,0
L,2020-05-15,18,18,0,0,0
LE,2020-05-15,2,2,0,0,0
LO,2020-05-15,3,3,0,0,0
LU,2020-05-15,0,0,0,0,0
M,2020-05-15,121,121,0,0,0
MA,2020-05-15,0,0,0,0,0
ME,2020-05-15,0,0,0,0,0
MU,2020-05-15,0,0,0,0,0
NA,2020-05-15,11,11,0,0,0
O,2020-05-15,4,4,0,0,0
OR,2020-05-15,4,3,0,1,0
P,2020-05-15,4,4,0,0,0
PM,2020-05-15,16,15,1,0,0
PO,2020-05-15,0,0,0,0,0
S,2020-05-15,2,2,0,0,0
SA,2020-05-15,4,4,0,0,0
SE,2020-05-15,2,2,0,0,0
SG,2020-05-15,3,3,0,0,0
SO,2020-05-15,3,3,0,0,0
SS,2020-05-15,0,0,0,0,0
T,2020-05-15,4,4,0,0,0
TE,2020-05-15,3,3,0,0,0
TF,2020-05-15,1,1,0,0,0
TO,2020-05-15,9,9,0,0,0
V,2020-05-15,5,5,0,0,0
VA,2020-05-15,7,5,0,2,0
VI,2020-05-15,1,1,0,0,0
Z,2020-05-15,6,6,0,0,0
ZA,2020-05-15,2,2,0,0,0
A,2020-05-16,5,5,0,0,0
AB,2020-05-16,3,3,0,0,0
AL,2020-05-16,1,0,0,1,0
AV,2020-05-16,1,1,0,0,0
B,2020-05-16,59,59,0,0,0
BA,2020-05-16,1,1,0,0,0
BI,2020-05-16,4,4,0,0,0
BU,2020-05-16,4,4,0,0,0
C,2020-05-16,2,2,0,0,0
CA,2020-05-16,0,0,0,0,0
CC,2020-05-16,0,0,0,0,0
CE,2020-05-16,1,1,0,0,0
CO,2020-05-16,0,0,0,0,0
CR,2020-05-16,13,11,0,2,0
CS,2020-05-16,0,0,0,0,0
CU,2020-05-16,5,5,0,0,0
GC,2020-05-16,2,2,0,0,0
GI,2020-05-16,22,22,0,0,0
GR,2020-05-16,1,1,0,0,0
GU,2020-05-16,0,0,0,0,0
H,2020-05-16,0,0,0,0,0
HU,2020-05-16,4,4,0,0,0
J,2020-05-16,1,1,0,0,0
L,2020-05-16,16,16,0,0,0
LE,2020-05-16,7,7,0,0,0
LO,2020-05-16,2,2,0,0,0
LU,2020-05-16,0,0,0,0,0
M,2020-05-16,49,49,0,0,0
MA,2020-05-16,1,1,0,0,0
ME,2020-05-16,0,0,0,0,0
MU,2020-05-16,1,1,0,0,0
NA,2020-05-16,4,4,0,0,0
O,2020-05-16,1,1,0,0,0
OR,2020-05-16,0,0,0,0,0
P,2020-05-16,1,0,0,1,0
PM,2020-05-16,0,0,0,0,0
PO,2020-05-16,1,1,0,0,0
S,2020-05-16,4,4,0,0,0
SA,2020-05-16,3,3,0,0,0
SE,2020-05-16,0,0,0,0,0
SG,2020-05-16,1,1,0,0,0
SO,2020-05-16,1,1,0,0,0
SS,2020-05-16,1,1,0,0,0
T,2020-05-16,6,6,0,0,0
TE,2020-05-16,2,2,0,0,0
TF,2020-05-16,4,4,0,0,0
TO,2020-05-16,6,6,0,0,0
V,2020-05-16,3,3,0,0,0
VA,2020-05-16,11,11,0,0,0
VI,2020-05-16,2,2,0,0,0
Z,2020-05-16,2,1,0,0,1
ZA,2020-05-16,0,0,0,0,0
A,2020-05-17,2,2,0,0,0
AB,2020-05-17,0,0,0,0,0
AL,2020-05-17,0,0,0,0,0
AV,2020-05-17,0,0,0,0,0
B,2020-05-17,61,61,0,0,0
BA,2020-05-17,2,2,0,0,0
BI,2020-05-17,4,4,0,0,0
BU,2020-05-17,0,0,0,0,0
C,2020-05-17,2,2,0,0,0
CA,2020-05-17,0,0,0,0,0
CC,2020-05-17,0,0,0,0,0
CE,2020-05-17,0,0,0,0,0
CO,2020-05-17,1,1,0,0,0
CR,2020-05-17,10,7,0,3,0
CS,2020-05-17,1,1,0,0,0
CU,2020-05-17,1,1,0,0,0
GC,2020-05-17,0,0,0,0,0
GI,2020-05-17,6,6,0,0,0
GR,2020-05-17,0,0,0,0,0
GU,2020-05-17,0,0,0,0,0
H,2020-05-17,0,0,0,0,0
HU,2020-05-17,3,3,0,0,0
J,2020-05-17,1,1,0,0,0
L,2020-05-17,14,14,0,0,0
LE,2020-05-17,0,0,0,0,0
LO,2020-05-17,0,0,0,0,0
LU,2020-05-17,0,0,0,0,0
M,2020-05-17,69,69,0,0,0
MA,2020-05-17,1,1,0,0,0
ME,2020-05-17,0,0,0,0,0
MU,2020-05-17,1,1,0,0,0
NA,2020-05-17,20,20,0,0,0
O,2020-05-17,3,3,0,0,0
OR,2020-05-17,0,0,0,0,0
P,2020-05-17,1,1,0,0,0
PM,2020-05-17,5,5,0,0,0
PO,2020-05-17,0,0,0,0,0
S,2020-05-17,0,0,0,0,0
SA,2020-05-17,0,0,0,0,0
SE,2020-05-17,1,1,0,0,0
SG,2020-05-17,0,0,0,0,0
SO,2020-05-17,1,1,0,0,0
SS,2020-05-17,0,0,0,0,0
T,2020-05-17,3,3,0,0,0
TE,2020-05-17,1,1,0,0,0
TF,2020-05-17,1,1,0,0,0
TO,2020-05-17,2,2,0,0,0
V,2020-05-17,4,4,0,0,0
VA,2020-05-17,3,3,0,0,0
VI,2020-05-17,2,2,0,0,0
Z,2020-05-17,4,4,0,0,0
ZA,2020-05-17,0,0,0,0,0
A,2020-05-18,3,3,0,0,0
AB,2020-05-18,2,2,0,0,0
AL,2020-05-18,0,0,0,0,0
AV,2020-05-18,9,9,0,0,0
B,2020-05-18,128,92,0,36,0
BA,2020-05-18,2,2,0,0,0
BI,2020-05-18,11,11,0,0,0
BU,2020-05-18,6,6,0,0,0
C,2020-05-18,3,3,0,0,0
CA,2020-05-18,2,2,0,0,0
CC,2020-05-18,1,1,0,0,0
CE,2020-05-18,2,2,0,0,0
CO,2020-05-18,1,1,0,0,0
CR,2020-05-18,10,6,0,4,0
CS,2020-05-18,2,2,0,0,0
CU,2020-05-18,6,6,0,0,0
GC,2020-05-18,1,1,0,0,0
GI,2020-05-18,29,29,0,0,0
GR,2020-05-18,1,1,0,0,0
GU,2020-05-18,2,2,0,0,0
H,2020-05-18,1,1,0,0,0
HU,2020-05-18,5,3,0,0,2
J,2020-05-18,3,3,0,0,0
L,2020-05-18,24,23,0,0,1
LE,2020-05-18,6,6,0,0,0
LO,2020-05-18,5,5,0,0,0
LU,2020-05-18,0,0,0,0,0
M,2020-05-18,131,131,0,0,0
MA,2020-05-18,3,3,0,0,0
ME,2020-05-18,1,1,0,0,0
MU,2020-05-18,2,2,0,0,0
NA,2020-05-18,6,6,0,0,0
O,2020-05-18,0,0,0,0,0
OR,2020-05-18,3,3,0,0,0
P,2020-05-18,3,3,0,0,0
PM,2020-05-18,5,5,0,0,0
PO,2020-05-18,0,0,0,0,0
S,2020-05-18,3,3,0,0,0
SA,2020-05-18,1,1,0,0,0
SE,2020-05-18,0,0,0,0,0
SG,2020-05-18,2,2,0,0,0
SO,2020-05-18,0,0,0,0,0
SS,2020-05-18,0,0,0,0,0
T,2020-05-18,2,2,0,0,0
TE,2020-05-18,7,6,0,0,1
TF,2020-05-18,3,3,0,0,0
TO,2020-05-18,9,9,0,0,0
V,2020-05-18,5,5,0,0,0
VA,2020-05-18,4,4,0,0,0
VI,2020-05-18,2,2,0,0,0
Z,2020-05-18,8,8,0,0,0
ZA,2020-05-18,1,1,0,0,0
A,2020-05-19,4,4,0,0,0
AB,2020-05-19,1,1,0,0,0
AL,2020-05-19,0,0,0,0,0
AV,2020-05-19,0,0,0,0,0
B,2020-05-19,159,111,0,48,0
BA,2020-05-19,0,0,0,0,0
BI,2020-05-19,1,1,0,0,0
BU,2020-05-19,3,3,0,0,0
C,2020-05-19,5,5,0,0,0
CA,2020-05-19,0,0,0,0,0
CC,2020-05-19,2,2,0,0,0
CE,2020-05-19,3,3,0,0,0
CO,2020-05-19,1,1,0,0,0
CR,2020-05-19,16,12,0,4,0
CS,2020-05-19,2,2,0,0,0
CU,2020-05-19,4,4,0,0,0
GC,2020-05-19,1,1,0,0,0
GI,2020-05-19,15,14,0,1,0
GR,2020-05-19,3,3,0,0,0
GU,2020-05-19,3,2,0,1,0
H,2020-05-19,0,0,0,0,0
HU,2020-05-19,6,6,0,0,0
J,2020-05-19,2,2,0,0,0
L,2020-05-19,26,25,0,1,0
LE,2020-05-19,3,3,0,0,0
LO,2020-05-19,3,3,0,0,0
LU,2020-05-19,1,1,0,0,0
M,2020-05-19,150,150,0,0,0
MA,2020-05-19,2,2,0,0,0
ME,2020-05-19,0,0,0,0,0
MU,2020-05-19,2,2,0,0,0
NA,2020-05-19,9,9,0,0,0
O,2020-05-19,0,0,0,0,0
OR,2020-05-19,0,0,0,0,0
P,2020-05-19,8,8,0,0,0
PM,2020-05-19,12,12,0,0,0
PO,2020-05-19,1,1,0,0,0
S,2020-05-19,2,2,0,0,0
SA,2020-05-19,6,6,0,0,0
SE,2020-05-19,2,2,0,0,0
SG,2020-05-19,1,1,0,0,0
SO,2020-05-19,0,0,0,0,0
SS,2020-05-19,1,1,0,0,0
T,2020-05-19,1,1,0,0,0
TE,2020-05-19,7,7,0,0,0
TF,2020-05-19,6,6,0,0,0
TO,2020-05-19,9,9,0,0,0
V,2020-05-19,6,6,0,0,0
VA,2020-05-19,9,9,0,0,0
VI,2020-05-19,8,8,0,0,0
Z,2020-05-19,10,10,0,0,0
ZA,2020-05-19,2,2,0,0,0
A,2020-05-20,6,6,0,0,0
AB,2020-05-20,3,3,0,0,0
AL,2020-05-20,0,0,0,0,0
AV,2020-05-20,0,0,0,0,0
B,2020-05-20,135,87,0,48,0
BA,2020-05-20,1,1,0,0,0
BI,2020-05-20,4,4,0,0,0
BU,2020-05-20,4,4,0,0,0
C,2020-05-20,6,6,0,0,0
CA,2020-05-20,4,4,0,0,0
CC,2020-05-20,2,2,0,0,0
CE,2020-05-20,1,1,0,0,0
CO,2020-05-20,0,0,0,0,0
CR,2020-05-20,5,5,0,0,0
CS,2020-05-20,5,5,0,0,0
CU,2020-05-20,11,11,0,0,0
GC,2020-05-20,2,2,0,0,0
GI,2020-05-20,18,17,0,1,0
GR,2020-05-20,1,1,0,0,0
GU,2020-05-20,2,2,0,0,0
H,2020-05-20,0,0,0,0,0
HU,2020-05-20,4,4,0,0,0
J,2020-05-20,5,5,0,0,0
L,2020-05-20,14,14,0,0,0
LE,2020-05-20,4,4,0,0,0
LO,2020-05-20,1,1,0,0,0
LU,2020-05-20,0,0,0,0,0
M,2020-05-20,115,115,0,0,0
MA,2020-05-20,1,1,0,0,0
ME,2020-05-20,0,0,0,0,0
MU,2020-05-20,0,0,0,0,0
NA,2020-05-20,4,4,0,0,0
O,2020-05-20,1,1,0,0,0
OR,2020-05-20,0,0,0,0,0
P,2020-05-20,4,4,0,0,0
PM,2020-05-20,6,6,0,0,0
PO,2020-05-20,0,0,0,0,0
S,2020-05-20,0,0,0,0,0
SA,2020-05-20,2,1,0,1,0
SE,2020-05-20,2,2,0,0,0
SG,2020-05-20,1,1,0,0,0
SO,2020-05-20,4,4,0,0,0
SS,2020-05-20,0,0,0,0,0
T,2020-05-20,6,4,0,2,0
TE,2020-05-20,1,1,0,0,0
TF,2020-05-20,2,2,0,0,0
TO,2020-05-20,5,5,0,0,0
V,2020-05-20,3,3,0,0,0
VA,2020-05-20,8,8,0,0,0
VI,2020-05-20,4,4,0,0,0
Z,2020-05-20,9,8,0,1,0
ZA,2020-05-20,0,0,0,0,0
A,2020-05-21,3,3,0,0,0
AB,2020-05-21,1,1,0,0,0
AL,2020-05-21,0,0,0,0,0
AV,2020-05-21,1,1,0,0,0
B,2020-05-21,166,100,0,66,0
BA,2020-05-21,1,1,0,0,0
BI,2020-05-21,7,7,0,0,0
BU,2020-05-21,9,9,0,0,0
C,2020-05-21,10,10,0,0,0
CA,2020-05-21,2,2,0,0,0
CC,2020-05-21,1,1,0,0,0
CE,2020-05-21,1,1,0,0,0
CO,2020-05-21,1,1,0,0,0
CR,2020-05-21,9,7,0,2,0
CS,2020-05-21,1,1,0,0,0
CU,2020-05-21,3,3,0,0,0
GC,2020-05-21,1,1,0,0,0
GI,2020-05-21,15,15,0,0,0
GR,2020-05-21,4,4,0,0,0
GU,2020-05-21,1,1,0,0,0
H,2020-05-21,1,1,0,0,0
HU,2020-05-21,3,3,0,0,0
J,2020-05-21,0,0,0,0,0
L,2020-05-21,22,21,0,1,0
