"CCAA","FECHA","CASOS","PCR.","TestAc.","Hospitalizados","UCI","Fallecidos"
"AN","23/2/2020",NA,0,NA,NA,NA,NA
"AR","23/2/2020",NA,0,NA,NA,NA,NA
"AS","23/2/2020",NA,0,NA,NA,NA,NA
"IB","23/2/2020",NA,1,NA,NA,NA,NA
"CN","23/2/2020",NA,1,NA,NA,NA,NA
"CB","23/2/2020",NA,0,NA,NA,NA,NA
"CM","23/2/2020",NA,0,NA,NA,NA,NA
"CL","23/2/2020",NA,0,NA,NA,NA,NA
"CT","23/2/2020",NA,0,NA,NA,NA,NA
"CE","23/2/2020",NA,0,NA,NA,NA,NA
"VC","23/2/2020",NA,0,NA,38,2,NA
"EX","23/2/2020",NA,0,NA,NA,NA,NA
"GA","23/2/2020",NA,0,NA,NA,NA,NA
"MD","23/2/2020",NA,1,NA,NA,NA,NA
"ML","23/2/2020",NA,0,NA,NA,NA,NA
"MC","23/2/2020",NA,0,NA,NA,NA,NA
"NC","23/2/2020",NA,0,NA,NA,NA,NA
"PV","23/2/2020",NA,0,NA,NA,NA,NA
"RI","23/2/2020",NA,0,NA,NA,NA,NA
"AN","24/2/2020",NA,0,NA,NA,NA,NA
"AR","24/2/2020",NA,0,NA,NA,NA,NA
"AS","24/2/2020",NA,0,NA,NA,NA,NA
"IB","24/2/2020",NA,1,NA,NA,NA,NA
"CN","24/2/2020",NA,2,NA,NA,NA,NA
"CB","24/2/2020",NA,0,NA,NA,NA,NA
"CM","24/2/2020",NA,0,NA,NA,NA,NA
"CL","24/2/2020",NA,0,NA,NA,NA,NA
"CT","24/2/2020",NA,0,NA,NA,NA,NA
"CE","24/2/2020",NA,0,NA,NA,NA,NA
"VC","24/2/2020",NA,0,NA,49,2,NA
"EX","24/2/2020",NA,0,NA,NA,NA,NA
"GA","24/2/2020",NA,0,NA,NA,NA,NA
"MD","24/2/2020",NA,1,NA,NA,NA,NA
"ML","24/2/2020",NA,0,NA,NA,NA,NA
"MC","24/2/2020",NA,0,NA,NA,NA,NA
"NC","24/2/2020",NA,0,NA,NA,NA,NA
"PV","24/2/2020",NA,0,NA,NA,NA,NA
"RI","24/2/2020",NA,0,NA,NA,NA,NA
"AN","25/2/2020",NA,0,NA,NA,NA,NA
"AR","25/2/2020",NA,0,NA,NA,NA,NA
"AS","25/2/2020",NA,0,NA,NA,NA,NA
"IB","25/2/2020",NA,1,NA,NA,NA,NA
"CN","25/2/2020",NA,5,NA,NA,NA,NA
"CB","25/2/2020",NA,0,NA,NA,NA,NA
"CM","25/2/2020",NA,0,NA,NA,NA,NA
"CL","25/2/2020",NA,0,NA,NA,NA,NA
"CT","25/2/2020",NA,1,NA,NA,NA,NA
"CE","25/2/2020",NA,0,NA,NA,NA,NA
"VC","25/2/2020",NA,1,NA,58,2,NA
"EX","25/2/2020",NA,0,NA,NA,NA,NA
"GA","25/2/2020",NA,0,NA,NA,NA,NA
"MD","25/2/2020",NA,2,NA,NA,NA,NA
"ML","25/2/2020",NA,0,NA,NA,NA,NA
"MC","25/2/2020",NA,0,NA,NA,NA,NA
"NC","25/2/2020",NA,0,NA,NA,NA,NA
"PV","25/2/2020",NA,0,NA,NA,NA,NA
"RI","25/2/2020",NA,0,NA,NA,NA,NA
"AN","26/2/2020",NA,1,NA,NA,NA,NA
"AR","26/2/2020",NA,0,NA,NA,NA,NA
"AS","26/2/2020",NA,0,NA,NA,NA,NA
"IB","26/2/2020",NA,1,NA,NA,NA,NA
"CN","26/2/2020",NA,6,NA,NA,NA,NA
"CB","26/2/2020",NA,0,NA,NA,NA,NA
"CM","26/2/2020",NA,0,NA,NA,NA,NA
"CL","26/2/2020",NA,0,NA,NA,NA,NA
"CT","26/2/2020",NA,2,NA,NA,NA,NA
"CE","26/2/2020",NA,0,NA,NA,NA,NA
"VC","26/2/2020",NA,2,NA,63,3,NA
"EX","26/2/2020",NA,0,NA,NA,NA,NA
"GA","26/2/2020",NA,0,NA,NA,NA,NA
"MD","26/2/2020",NA,6,NA,NA,NA,NA
"ML","26/2/2020",NA,0,NA,NA,NA,NA
"MC","26/2/2020",NA,0,NA,NA,NA,NA
"NC","26/2/2020",NA,0,NA,NA,NA,NA
"PV","26/2/2020",NA,0,NA,NA,NA,NA
"RI","26/2/2020",NA,0,NA,NA,NA,NA
"AN","27/2/2020",NA,6,NA,NA,NA,NA
"AR","27/2/2020",NA,0,NA,NA,NA,NA
"AS","27/2/2020",NA,0,NA,NA,NA,NA
"IB","27/2/2020",NA,1,NA,NA,NA,NA
"CN","27/2/2020",NA,6,NA,NA,NA,NA
"CB","27/2/2020",NA,0,NA,NA,NA,NA
"CM","27/2/2020",NA,0,NA,NA,NA,NA
"CL","27/2/2020",NA,2,NA,NA,NA,NA
"CT","27/2/2020",NA,3,NA,NA,NA,NA
"CE","27/2/2020",NA,0,NA,NA,NA,NA
"VC","27/2/2020",NA,8,NA,73,3,NA
"EX","27/2/2020",NA,0,NA,NA,NA,NA
"GA","27/2/2020",NA,0,NA,NA,NA,NA
"MD","27/2/2020",NA,10,NA,NA,NA,NA
"ML","27/2/2020",NA,0,NA,NA,NA,NA
"MC","27/2/2020",NA,0,NA,NA,NA,NA
"NC","27/2/2020",NA,0,NA,NA,NA,NA
"PV","27/2/2020",NA,0,NA,NA,NA,NA
"RI","27/2/2020",NA,0,NA,NA,NA,NA
"AN","28/2/2020",NA,8,NA,NA,NA,NA
"AR","28/2/2020",NA,0,NA,NA,NA,NA
"AS","28/2/2020",NA,0,NA,NA,NA,NA
"IB","28/2/2020",NA,2,NA,NA,NA,NA
"CN","28/2/2020",NA,6,NA,NA,NA,NA
"CB","28/2/2020",NA,0,NA,NA,NA,NA
"CM","28/2/2020",NA,0,NA,NA,NA,NA
"CL","28/2/2020",NA,2,NA,NA,NA,NA
"CT","28/2/2020",NA,5,NA,NA,NA,NA
"CE","28/2/2020",NA,0,NA,NA,NA,NA
"VC","28/2/2020",NA,10,NA,78,3,NA
"EX","28/2/2020",NA,0,NA,NA,NA,NA
"GA","28/2/2020",NA,0,NA,NA,NA,NA
"MD","28/2/2020",NA,20,NA,NA,NA,NA
"ML","28/2/2020",NA,0,NA,NA,NA,NA
"MC","28/2/2020",NA,0,NA,NA,NA,NA
"NC","28/2/2020",NA,0,NA,NA,NA,NA
"PV","28/2/2020",NA,2,NA,NA,NA,NA
"RI","28/2/2020",NA,0,NA,NA,NA,NA
"AN","29/2/2020",NA,12,NA,NA,NA,NA
"AR","29/2/2020",NA,0,NA,NA,NA,NA
"AS","29/2/2020",NA,1,NA,0,1,0
"IB","29/2/2020",NA,2,NA,NA,NA,NA
"CN","29/2/2020",NA,7,NA,NA,NA,NA
"CB","29/2/2020",NA,1,NA,NA,NA,NA
"CM","29/2/2020",NA,1,NA,NA,NA,NA
"CL","29/2/2020",NA,3,NA,NA,NA,NA
"CT","29/2/2020",NA,6,NA,NA,NA,NA
"CE","29/2/2020",NA,0,NA,NA,NA,NA
"VC","29/2/2020",NA,15,NA,85,3,NA
"EX","29/2/2020",NA,4,NA,NA,NA,NA
"GA","29/2/2020",NA,0,NA,NA,NA,NA
"MD","29/2/2020",NA,27,NA,NA,NA,NA
"ML","29/2/2020",NA,0,NA,NA,NA,NA
"MC","29/2/2020",NA,0,NA,NA,NA,NA
"NC","29/2/2020",NA,1,NA,NA,NA,NA
"PV","29/2/2020",NA,3,NA,NA,NA,NA
"RI","29/2/2020",NA,0,NA,NA,NA,NA
"AN","1/3/2020",NA,12,NA,NA,NA,NA
"AR","1/3/2020",NA,0,NA,NA,NA,NA
"AS","1/3/2020",NA,1,NA,0,1,0
"IB","1/3/2020",NA,2,NA,NA,NA,NA
"CN","1/3/2020",NA,7,NA,NA,NA,NA
"CB","1/3/2020",NA,10,NA,NA,NA,NA
"CM","1/3/2020",NA,3,NA,NA,NA,NA
"CL","1/3/2020",NA,3,NA,NA,NA,NA
"CT","1/3/2020",NA,15,NA,NA,NA,NA
"CE","1/3/2020",NA,0,NA,NA,NA,NA
"VC","1/3/2020",NA,15,NA,88,3,NA
"EX","1/3/2020",NA,6,NA,NA,NA,NA
"GA","1/3/2020",NA,0,NA,NA,NA,NA
"MD","1/3/2020",NA,53,NA,NA,NA,NA
"ML","1/3/2020",NA,0,NA,NA,NA,NA
"MC","1/3/2020",NA,0,NA,NA,NA,NA
"NC","1/3/2020",NA,1,NA,NA,NA,NA
"PV","1/3/2020",NA,9,NA,NA,NA,NA
"RI","1/3/2020",NA,1,NA,NA,NA,NA
"AN","2/3/2020",NA,12,NA,NA,NA,NA
"AR","2/3/2020",NA,0,NA,NA,NA,NA
"AS","2/3/2020",NA,1,NA,1,1,0
"IB","2/3/2020",NA,2,NA,NA,NA,NA
"CN","2/3/2020",NA,7,NA,NA,NA,NA
"CB","2/3/2020",NA,10,NA,NA,NA,NA
"CM","2/3/2020",NA,7,NA,NA,NA,NA
"CL","2/3/2020",NA,8,NA,NA,NA,NA
"CT","2/3/2020",NA,15,NA,NA,NA,NA
"CE","2/3/2020",NA,0,NA,NA,NA,NA
"VC","2/3/2020",NA,15,NA,93,3,NA
"EX","2/3/2020",NA,6,NA,NA,NA,NA
"GA","2/3/2020",NA,0,NA,NA,NA,NA
"MD","2/3/2020",NA,96,NA,NA,NA,NA
"ML","2/3/2020",NA,0,NA,NA,NA,NA
"MC","2/3/2020",NA,0,NA,NA,NA,NA
"NC","2/3/2020",NA,1,NA,NA,NA,NA
"PV","2/3/2020",NA,13,NA,NA,NA,NA
"RI","2/3/2020",NA,2,NA,NA,NA,NA
"AN","3/3/2020",NA,12,NA,NA,NA,NA
"AR","3/3/2020",NA,0,NA,NA,NA,NA
"AS","3/3/2020",NA,2,NA,1,1,0
"IB","3/3/2020",NA,5,NA,NA,NA,NA
"CN","3/3/2020",NA,7,NA,NA,NA,NA
"CB","3/3/2020",NA,10,NA,NA,NA,NA
"CM","3/3/2020",NA,12,NA,NA,NA,NA
"CL","3/3/2020",NA,11,NA,NA,NA,NA
"CT","3/3/2020",NA,15,NA,NA,NA,NA
"CE","3/3/2020",NA,0,NA,NA,NA,NA
"VC","3/3/2020",NA,19,NA,105,5,NA
"EX","3/3/2020",NA,6,NA,NA,NA,NA
"GA","3/3/2020",NA,1,NA,NA,NA,NA
"MD","3/3/2020",NA,142,NA,NA,NA,NA
"ML","3/3/2020",NA,0,NA,NA,NA,NA
"MC","3/3/2020",NA,0,NA,NA,NA,NA
"NC","3/3/2020",NA,3,NA,NA,NA,NA
"PV","3/3/2020",NA,17,NA,NA,NA,NA
"RI","3/3/2020",NA,7,NA,NA,NA,NA
"AN","4/3/2020",NA,12,NA,NA,NA,NA
"AR","4/3/2020",NA,1,NA,NA,NA,NA
"AS","4/3/2020",NA,4,NA,1,1,0
"IB","4/3/2020",NA,6,NA,NA,NA,NA
"CN","4/3/2020",NA,8,NA,NA,NA,NA
"CB","4/3/2020",NA,10,NA,NA,NA,NA
"CM","4/3/2020",NA,13,NA,NA,NA,NA
"CL","4/3/2020",NA,11,NA,NA,NA,NA
"CT","4/3/2020",NA,24,NA,NA,NA,NA
"CE","4/3/2020",NA,0,NA,NA,NA,NA
"VC","4/3/2020",NA,19,NA,117,6,NA
"EX","4/3/2020",NA,6,NA,NA,NA,NA
"GA","4/3/2020",NA,1,NA,NA,NA,NA
"MD","4/3/2020",NA,199,NA,NA,NA,NA
"ML","4/3/2020",NA,0,NA,NA,NA,NA
"MC","4/3/2020",NA,0,NA,NA,NA,NA
"NC","4/3/2020",NA,3,NA,NA,NA,NA
"PV","4/3/2020",NA,17,NA,NA,NA,NA
"RI","4/3/2020",NA,17,NA,NA,NA,NA
"AN","5/3/2020",NA,21,NA,NA,NA,NA
"AR","5/3/2020",NA,1,NA,NA,NA,NA
"AS","5/3/2020",NA,4,NA,4,1,0
"IB","5/3/2020",NA,6,NA,NA,NA,NA
"CN","5/3/2020",NA,11,NA,NA,NA,NA
"CB","5/3/2020",NA,10,NA,NA,NA,NA
"CM","5/3/2020",NA,15,NA,NA,NA,NA
"CL","5/3/2020",NA,14,NA,NA,NA,NA
"CT","5/3/2020",NA,24,NA,NA,NA,NA
"CE","5/3/2020",NA,0,NA,NA,NA,NA
"VC","5/3/2020",NA,30,NA,130,8,NA
"EX","5/3/2020",NA,6,NA,NA,NA,NA
"GA","5/3/2020",NA,3,NA,NA,NA,NA
"MD","5/3/2020",NA,311,NA,NA,NA,NA
"ML","5/3/2020",NA,0,NA,NA,NA,NA
"MC","5/3/2020",NA,0,NA,NA,NA,NA
"NC","5/3/2020",NA,3,NA,NA,NA,NA
"PV","5/3/2020",NA,45,NA,NA,NA,NA
"RI","5/3/2020",NA,29,NA,NA,NA,NA
"AN","6/3/2020",NA,27,NA,NA,NA,NA
"AR","6/3/2020",NA,5,NA,NA,NA,NA
"AS","6/3/2020",NA,7,NA,4,1,0
"IB","6/3/2020",NA,6,NA,NA,NA,NA
"CN","6/3/2020",NA,11,NA,NA,NA,NA
"CB","6/3/2020",NA,10,NA,NA,NA,NA
"CM","6/3/2020",NA,15,NA,NA,NA,NA
"CL","6/3/2020",NA,14,NA,NA,NA,NA
"CT","6/3/2020",NA,24,NA,NA,NA,NA
"CE","6/3/2020",NA,0,NA,NA,NA,NA
"VC","6/3/2020",NA,30,NA,138,8,NA
"EX","6/3/2020",NA,6,NA,NA,NA,NA
"GA","6/3/2020",NA,3,NA,NA,NA,NA
"MD","6/3/2020",NA,515,NA,NA,NA,NA
"ML","6/3/2020",NA,0,NA,NA,NA,NA
"MC","6/3/2020",NA,0,NA,NA,NA,NA
"NC","6/3/2020",NA,3,NA,NA,NA,NA
"PV","6/3/2020",NA,45,NA,NA,NA,NA
"RI","6/3/2020",NA,47,NA,NA,NA,NA
"AN","7/3/2020",NA,34,NA,NA,NA,NA
"AR","7/3/2020",NA,5,NA,NA,NA,NA
"AS","7/3/2020",NA,8,NA,4,1,0
"IB","7/3/2020",NA,8,NA,NA,NA,NA
"CN","7/3/2020",NA,17,NA,NA,NA,NA
"CB","7/3/2020",NA,12,NA,NA,NA,NA
"CM","7/3/2020",NA,15,NA,NA,NA,NA
"CL","7/3/2020",NA,22,NA,NA,NA,NA
"CT","7/3/2020",NA,49,NA,NA,NA,NA
"CE","7/3/2020",NA,0,NA,NA,NA,NA
"VC","7/3/2020",NA,37,NA,146,9,NA
"EX","7/3/2020",NA,6,NA,NA,NA,NA
"GA","7/3/2020",NA,5,NA,NA,NA,NA
"MD","7/3/2020",NA,738,NA,NA,NA,NA
"ML","7/3/2020",NA,0,NA,NA,NA,NA
"MC","7/3/2020",NA,1,NA,NA,NA,NA
"NC","7/3/2020",NA,3,NA,NA,NA,NA
"PV","7/3/2020",NA,70,NA,NA,NA,NA
"RI","7/3/2020",NA,70,NA,NA,NA,NA
"AN","8/3/2020",NA,54,NA,NA,1,0
"AR","8/3/2020",NA,7,NA,NA,3,3
"AS","8/3/2020",NA,10,NA,7,1,0
"IB","8/3/2020",NA,11,NA,NA,1,0
"CN","8/3/2020",NA,22,NA,NA,0,0
"CB","8/3/2020",NA,12,NA,NA,0,0
"CM","8/3/2020",NA,26,NA,21,2,0
"CL","8/3/2020",NA,23,NA,NA,2,0
"CT","8/3/2020",NA,59,NA,16,5,2
"CE","8/3/2020",NA,0,NA,NA,0,0
"VC","8/3/2020",NA,37,NA,153,9,1
"EX","8/3/2020",NA,7,NA,NA,0,0
"GA","8/3/2020",NA,6,NA,NA,2,0
"MD","8/3/2020",NA,1003,NA,NA,61,16
"ML","8/3/2020",NA,0,NA,NA,0,0
"MC","8/3/2020",NA,4,NA,NA,0,0
"NC","8/3/2020",NA,3,NA,NA,1,0
"PV","8/3/2020",NA,149,NA,NA,5,6
"RI","8/3/2020",NA,102,NA,NA,1,0
"AN","9/3/2020",NA,71,NA,NA,1,0
"AR","9/3/2020",NA,30,NA,NA,3,4
"AS","9/3/2020",NA,15,NA,11,1,0
"IB","9/3/2020",NA,13,NA,NA,1,0
"CN","9/3/2020",NA,25,NA,NA,1,0
"CB","9/3/2020",NA,12,NA,NA,0,0
"CM","9/3/2020",NA,39,NA,31,3,0
"CL","9/3/2020",NA,56,NA,NA,2,0
"CT","9/3/2020",NA,82,NA,31,7,2
"CE","9/3/2020",NA,0,NA,NA,0,0
"VC","9/3/2020",NA,50,NA,171,10,1
"EX","9/3/2020",NA,8,NA,NA,0,0
"GA","9/3/2020",NA,22,NA,NA,2,0
"MD","9/3/2020",NA,1508,NA,NA,120,21
"ML","9/3/2020",NA,0,NA,NA,0,0
"MC","9/3/2020",NA,9,NA,NA,0,0
"NC","9/3/2020",NA,12,NA,NA,2,0
"PV","9/3/2020",NA,195,NA,NA,5,6
"RI","9/3/2020",NA,155,NA,NA,1,1
"AN","10/3/2020",NA,90,NA,32,3,0
"AR","10/3/2020",NA,38,NA,22,3,4
"AS","10/3/2020",NA,32,NA,13,2,0
"IB","10/3/2020",NA,16,NA,8,1,0
"CN","10/3/2020",NA,37,NA,10,1,0
"CB","10/3/2020",NA,12,NA,0,0,0
"CM","10/3/2020",NA,71,NA,46,5,0
"CL","10/3/2020",NA,71,NA,24,5,0
"CT","10/3/2020",NA,123,NA,50,8,3
"CE","10/3/2020",NA,0,NA,0,0,0
"VC","10/3/2020",NA,65,NA,200,12,1
"EX","10/3/2020",NA,9,NA,1,1,1
"GA","10/3/2020",NA,35,NA,7,2,0
"MD","10/3/2020",NA,2213,NA,571,184,31
"ML","10/3/2020",NA,0,NA,0,0,0
"MC","10/3/2020",NA,11,NA,5,0,0
"NC","10/3/2020",NA,46,NA,10,3,0
"PV","10/3/2020",NA,225,NA,102,15,6
"RI","10/3/2020",NA,185,NA,13,1,2
"AN","11/3/2020",NA,115,NA,50,4,0
"AR","11/3/2020",NA,45,NA,28,3,6
"AS","11/3/2020",NA,37,NA,15,2,0
"IB","11/3/2020",NA,22,NA,8,2,1
"CN","11/3/2020",NA,51,NA,15,3,0
"CB","11/3/2020",NA,16,NA,3,0,0
"CM","11/3/2020",NA,115,NA,72,9,1
"CL","11/3/2020",NA,92,NA,25,7,0
"CT","11/3/2020",NA,202,NA,74,16,6
"CE","11/3/2020",NA,0,NA,0,0,0
"VC","11/3/2020",NA,76,NA,232,15,1
"EX","11/3/2020",NA,19,NA,3,1,1
"GA","11/3/2020",NA,35,NA,7,2,0
"MD","11/3/2020",NA,2943,NA,868,238,56
"ML","11/3/2020",NA,0,NA,0,0,0
"MC","11/3/2020",NA,26,NA,5,1,0
"NC","11/3/2020",NA,73,NA,17,3,0
"PV","11/3/2020",NA,346,NA,146,18,11
"RI","11/3/2020",NA,220,NA,21,1,2
"AN","12/3/2020",NA,219,NA,92,8,0
"AR","12/3/2020",NA,64,NA,30,3,7
"AS","12/3/2020",NA,40,NA,18,2,1
"IB","12/3/2020",NA,28,NA,8,2,1
"CN","12/3/2020",NA,70,NA,15,3,0
"CB","12/3/2020",NA,29,NA,3,0,0
"CM","12/3/2020",NA,194,NA,128,10,5
"CL","12/3/2020",NA,169,NA,25,8,1
"CT","12/3/2020",NA,349,NA,137,22,9
"CE","12/3/2020",NA,0,NA,0,0,0
"VC","12/3/2020",NA,94,NA,271,22,1
"EX","12/3/2020",NA,39,NA,3,1,1
"GA","12/3/2020",NA,85,NA,15,6,0
"MD","12/3/2020",NA,3732,NA,1290,307,81
"ML","12/3/2020",NA,2,NA,3,0,0
"MC","12/3/2020",NA,35,NA,8,2,0
"NC","12/3/2020",NA,130,NA,28,4,0
"PV","12/3/2020",NA,417,NA,179,20,14
"RI","12/3/2020",NA,259,NA,27,2,3
"AN","13/3/2020",NA,269,NA,92,8,2
"AR","13/3/2020",NA,80,NA,42,5,7
"AS","13/3/2020",NA,86,NA,24,2,2
"IB","13/3/2020",NA,28,NA,8,2,1
"CN","13/3/2020",NA,90,NA,15,6,1
"CB","13/3/2020",NA,31,NA,3,0,0
"CM","13/3/2020",NA,289,NA,191,22,6
"CL","13/3/2020",NA,223,NA,25,15,3
"CT","13/3/2020",NA,558,NA,200,29,13
"CE","13/3/2020",NA,0,NA,0,0,0
"VC","13/3/2020",NA,130,NA,307,29,4
"EX","13/3/2020",NA,66,NA,3,1,2
"GA","13/3/2020",NA,115,NA,32,6,0
"MD","13/3/2020",NA,4672,NA,1699,370,86
"ML","13/3/2020",NA,3,NA,3,0,0
"MC","13/3/2020",NA,47,NA,8,2,0
"NC","13/3/2020",NA,146,NA,28,4,0
"PV","13/3/2020",NA,521,NA,179,22,14
"RI","13/3/2020",NA,292,NA,38,2,3
"AN","14/3/2020",NA,437,NA,92,8,6
"AR","14/3/2020",NA,121,NA,59,5,7
"AS","14/3/2020",NA,123,NA,28,3,2
"IB","14/3/2020",NA,42,NA,8,2,1
"CN","14/3/2020",NA,109,NA,15,6,1
"CB","14/3/2020",NA,51,NA,3,0,0
"CM","14/3/2020",NA,401,NA,247,56,10
"CL","14/3/2020",NA,292,NA,45,22,6
"CT","14/3/2020",NA,742,NA,287,40,15
"CE","14/3/2020",NA,1,NA,0,0,0
"VC","14/3/2020",NA,409,NA,339,37,5
"EX","14/3/2020",NA,95,NA,7,1,2
"GA","14/3/2020",NA,195,NA,32,6,2
"MD","14/3/2020",NA,5576,NA,2207,469,213
"ML","14/3/2020",NA,8,NA,4,0,0
"MC","14/3/2020",NA,71,NA,13,2,0
"NC","14/3/2020",NA,183,NA,34,4,0
"PV","14/3/2020",NA,630,NA,262,29,23
"RI","14/3/2020",NA,300,NA,58,7,3
"AN","15/3/2020",NA,554,NA,197,11,7
"AR","15/3/2020",NA,147,NA,64,7,11
"AS","15/3/2020",NA,160,NA,39,3,2
"IB","15/3/2020",NA,73,NA,21,4,1
"CN","15/3/2020",NA,119,NA,40,9,1
"CB","15/3/2020",NA,58,NA,18,2,0
"CM","15/3/2020",NA,567,NA,319,78,17
"CL","15/3/2020",NA,334,NA,95,29,9
"CT","15/3/2020",NA,1017,NA,375,52,20
"CE","15/3/2020",NA,1,NA,0,0,0
"VC","15/3/2020",NA,409,NA,390,47,5
"EX","15/3/2020",NA,111,NA,9,2,2
"GA","15/3/2020",NA,245,NA,49,8,2
"MD","15/3/2020",NA,6392,NA,2747,566,213
"ML","15/3/2020",NA,8,NA,4,0,0
"MC","15/3/2020",NA,77,NA,13,2,0
"NC","15/3/2020",NA,274,NA,58,5,1
"PV","15/3/2020",NA,630,NA,262,29,23
"RI","15/3/2020",NA,312,NA,64,13,4
"AN","16/3/2020",NA,683,NA,229,13,11
"AR","16/3/2020",NA,207,NA,74,9,12
"AS","16/3/2020",NA,224,NA,57,6,2
"IB","16/3/2020",NA,92,NA,26,4,1
"CN","16/3/2020",NA,148,NA,56,13,2
"CB","16/3/2020",NA,58,NA,18,2,0
"CM","16/3/2020",NA,567,NA,402,95,17
"CL","16/3/2020",NA,431,NA,95,36,12
"CT","16/3/2020",NA,1414,NA,525,73,23
"CE","16/3/2020",NA,1,NA,0,0,0
"VC","16/3/2020",NA,541,NA,456,52,13
"EX","16/3/2020",NA,153,NA,13,5,3
"GA","16/3/2020",NA,292,NA,49,12,3
"MD","16/3/2020",NA,7653,NA,3314,702,355
"ML","16/3/2020",NA,17,NA,4,0,0
"MC","16/3/2020",NA,97,NA,18,3,0
"NC","16/3/2020",NA,313,NA,72,10,2
"PV","16/3/2020",NA,765,NA,309,33,36
"RI","16/3/2020",NA,355,NA,82,13,5
"AN","17/3/2020",NA,859,NA,319,21,19
"AR","17/3/2020",NA,226,NA,81,9,13
"AS","17/3/2020",NA,269,NA,78,9,2
"IB","17/3/2020",NA,112,NA,29,4,1
"CN","17/3/2020",NA,181,NA,73,17,3
"CB","17/3/2020",NA,68,NA,25,3,1
"CM","17/3/2020",NA,675,NA,498,123,28
"CL","17/3/2020",NA,668,NA,281,50,22
"CT","17/3/2020",NA,1866,NA,679,101,33
"CE","17/3/2020",NA,1,NA,0,0,0
"VC","17/3/2020",NA,726,NA,530,65,22
"EX","17/3/2020",NA,194,NA,22,6,6
"GA","17/3/2020",NA,341,NA,63,17,3
"MD","17/3/2020",NA,9601,NA,3934,850,390
"ML","17/3/2020",NA,20,NA,4,0,0
"MC","17/3/2020",NA,122,NA,22,4,0
"NC","17/3/2020",NA,386,NA,93,10,3
"PV","17/3/2020",NA,973,NA,353,37,40
"RI","17/3/2020",NA,419,NA,99,13,5
"AN","18/3/2020",NA,1008,NA,384,25,23
"AR","18/3/2020",NA,281,NA,101,14,15
"AS","18/3/2020",NA,310,NA,105,11,2
"IB","18/3/2020",NA,169,NA,31,7,2
